model,seed,mask,nseed,npts,c00,c01,c02,c10,c11,c12,c20,c21,c22,plant,scan,n,nn_all,nn_plant,n_soil,n_stem,n_leaf,n_leaves
semseg-ptv3-pheno4d-maize,0,global,-1,1444663,374801,15,2,565,363360,370501,72,886,334461,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,0,A16_r1,1121,7824,1398,15,0,535,3512,377,0,739,1248,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,0,A16_r2,1121,17824,3250,15,2,538,9441,551,0,837,3190,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,0,A16_r5,1121,65982,14903,15,2,538,39341,767,0,886,9530,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,0,A16_r10,1121,150987,40824,15,2,538,85777,1378,0,886,21567,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,0,O8_r1,438,4113,0,0,0,1,1971,335,0,707,1099,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,0,O8_r2,438,10571,0,0,0,1,6394,487,0,828,2861,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,0,O8_r5,438,41670,0,0,0,1,30934,729,0,886,9120,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,0,O8_r10,438,93657,0,0,0,1,70273,1378,0,886,21119,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,0,O16_r1,673,4583,0,0,0,1,2218,377,0,739,1248,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,0,O16_r2,673,11356,0,0,0,1,6777,551,0,837,3190,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,0,O16_r5,673,43181,0,0,0,1,31997,767,0,886,9530,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,0,O16_r10,673,95882,0,0,0,1,72050,1378,0,886,21567,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,0,O32_r1,1111,5270,0,0,0,1,2664,415,0,778,1412,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,0,O32_r2,1111,12411,0,0,0,1,7576,568,0,838,3428,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,0,O32_r5,1111,45312,0,0,0,1,33755,797,0,886,9873,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,0,O32_r10,1111,97481,0,0,0,1,73178,1378,0,886,22038,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,0,I16_r1,673,4583,0,0,0,1,2218,377,0,739,1248,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,0,I16_r2,673,11356,0,0,0,1,6777,551,0,837,3190,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,0,I16_r5,673,43181,0,0,0,1,31997,767,0,886,9530,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,0,I16_r10,673,95882,0,0,0,1,72050,1378,0,886,21567,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,1,global,-1,1444663,374694,1,123,1596,489135,243695,5,0,335414,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,1,A16_r1,1121,7824,1413,0,0,1400,7,3017,0,0,1987,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,1,A16_r2,1121,17824,3267,0,0,1596,311,8623,0,0,4027,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,1,A16_r5,1121,65982,14920,0,0,1596,2574,36476,0,0,10416,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,1,A16_r10,1121,150987,40732,0,109,1596,10749,75348,0,0,22453,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,1,O8_r1,438,4113,0,0,0,1,0,2306,0,0,1806,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,1,O8_r2,438,10571,0,0,0,1,0,6881,0,0,3689,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,1,O8_r5,438,41670,0,0,0,1,426,31237,0,0,10006,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,1,O8_r10,438,93657,0,0,0,1,6268,65383,0,0,22005,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,1,O16_r1,673,4583,0,0,0,1,0,2595,0,0,1987,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,1,O16_r2,673,11356,0,0,0,1,0,7328,0,0,4027,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,1,O16_r5,673,43181,0,0,0,1,621,32143,0,0,10416,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,1,O16_r10,673,95882,0,0,0,1,6342,67086,0,0,22453,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
semseg-ptv3-pheno4d-maize,1,O32_r1,1111,5270,0,0,0,1,0,3079,0,0,2190,Maize02,M02_0321_a,1444663,0.08863712540464896,0.08704045036649725,374818,734426,335419,3
