model,seed,mask,nseed,npts,c00,c01,c02,c10,c11,c12,c20,c21,c22,plant,scan,n,nn_all,nn_plant,n_soil,n_stem,n_leaf,n_leaves
semseg-ptv3-pheno4d-tomato,0,global,-1,2801320,2430181,262,0,52,43537,962,0,752,325574,Tomato02,T02_0311_a,2801320,0.045705743621474795,0.029049956970690925,2430443,44551,326326,3
semseg-ptv3-pheno4d-tomato,0,A16_r1,1058,12305,2662,262,0,52,3827,962,0,743,3797,Tomato02,T02_0311_a,2801320,0.045705743621474795,0.029049956970690925,2430443,44551,326326,3
semseg-ptv3-pheno4d-tomato,0,A16_r2,1058,35791,14870,262,0,52,9457,962,0,752,9436,Tomato02,T02_0311_a,2801320,0.045705743621474795,0.029049956970690925,2430443,44551,326326,3
semseg-ptv3-pheno4d-tomato,0,A16_r5,1058,130242,58096,262,0,52,28114,962,0,752,42004,Tomato02,T02_0311_a,2801320,0.045705743621474795,0.029049956970690925,2430443,44551,326326,3
semseg-ptv3-pheno4d-tomato,0,A16_r10,1058,317535,147337,262,0,52,42032,962,0,752,126138,Tomato02,T02_0311_a,2801320,0.045705743621474795,0.029049956970690925,2430443,44551,326326,3
semseg-ptv3-pheno4d-tomato,0,O8_r1,410,7219,0,0,0,0,1958,962,0,743,3556,Tomato02,T02_0311_a,2801320,0.045705743621474795,0.029049956970690925,2430443,44551,326326,3
semseg-ptv3-pheno4d-tomato,0,O8_r2,410,16475,0,0,0,0,5597,962,0,752,9164,Tomato02,T02_0311_a,2801320,0.045705743621474795,0.029049956970690925,2430443,44551,326326,3
semseg-ptv3-pheno4d-tomato,0,O8_r5,410,62508,0,0,0,0,19965,962,0,752,40829,Tomato02,T02_0311_a,2801320,0.045705743621474795,0.029049956970690925,2430443,44551,326326,3
semseg-ptv3-pheno4d-tomato,0,O8_r10,410,155903,0,0,0,0,29325,962,0,752,124864,Tomato02,T02_0311_a,2801320,0.045705743621474795,0.029049956970690925,2430443,44551,326326,3
semseg-ptv3-pheno4d-tomato,0,O16_r1,632,7596,0,0,0,0,2094,962,0,743,3797,Tomato02,T02_0311_a,2801320,0.045705743621474795,0.029049956970690925,2430443,44551,326326,3
semseg-ptv3-pheno4d-tomato,0,O16_r2,632,16939,0,0,0,0,5789,962,0,752,9436,Tomato02,T02_0311_a,2801320,0.045705743621474795,0.029049956970690925,2430443,44551,326326,3
semseg-ptv3-pheno4d-tomato,0,O16_r5,632,64195,0,0,0,0,20477,962,0,752,42004,Tomato02,T02_0311_a,2801320,0.045705743621474795,0.029049956970690925,2430443,44551,326326,3
semseg-ptv3-pheno4d-tomato,0,O16_r10,632,157229,0,0,0,0,29377,962,0,752,126138,Tomato02,T02_0311_a,2801320,0.045705743621474795,0.029049956970690925,2430443,44551,326326,3
semseg-ptv3-pheno4d-tomato,0,O32_r1,914,8005,0,0,0,0,2291,962,0,743,4009,Tomato02,T02_0311_a,2801320,0.045705743621474795,0.029049956970690925,2430443,44551,326326,3
semseg-ptv3-pheno4d-tomato,0,O32_r2,914,17363,0,0,0,0,5959,962,0,752,9690,Tomato02,T02_0311_a,2801320,0.045705743621474795,0.029049956970690925,2430443,44551,326326,3
semseg-ptv3-pheno4d-tomato,0,O32_r5,914,65808,0,0,0,0,21489,962,0,752,42605,Tomato02,T02_0311_a,2801320,0.045705743621474795,0.029049956970690925,2430443,44551,326326,3
semseg-ptv3-pheno4d-tomato,0,O32_r10,914,158134,0,0,0,0,29439,962,0,752,126981,Tomato02,T02_0311_a,2801320,0.045705743621474795,0.029049956970690925,2430443,44551,326326,3
semseg-ptv3-pheno4d-tomato,0,I16_r1,632,7596,0,0,0,0,2094,962,0,743,3797,Tomato02,T02_0311_a,2801320,0.045705743621474795,0.029049956970690925,2430443,44551,326326,3
