plant,scan,stem_id1_vertical_extent_mm,tallest_leaf_vertical_extent_mm,tallest_leaf_id,flagged
Maize01,M01_0313_a,51.3,27.4,2,no
Maize01,M01_0315_a,90.4,22.4,2,no
Maize01,M01_0317_a,150.6,58.8,3,no
Maize01,M01_0319_a,214.6,53.6,3,no
Maize01,M01_0321_a,217.5,41.1,3,no
Maize01,M01_0324_a,316.4,118.9,4,no
Maize01,M01_0325_a,303.3,106.2,4,no
Maize02,M02_0313_a,23.8,77.8,2,yes
Maize02,M02_0315_a,19.7,96.7,2,yes
Maize02,M02_0317_a,19.0,150.6,2,yes
Maize02,M02_0319_a,15.7,218.4,2,yes
Maize02,M02_0321_a,15.1,274.9,2,yes
Maize02,M02_0324_a,6.9,276.5,2,yes
Maize02,M02_0325_a,10.0,293.8,2,yes
Maize03,M03_0313_a,40.7,0.0,,no
Maize03,M03_0315_a,83.0,23.9,2,no
Maize03,M03_0317_a,133.8,22.3,2,no
Maize03,M03_0319_a,198.1,77.5,3,no
Maize03,M03_0321_a,14.3,223.3,3,yes
Maize03,M03_0324_a,13.1,338.8,4,yes
Maize03,M03_0325_a,307.1,118.2,4,no
Maize04,M04_0313_a,42.6,0.0,,no
Maize04,M04_0315_a,88.6,29.1,2,no
Maize04,M04_0317_a,137.5,28.7,2,no
Maize04,M04_0319_a,229.8,63.6,3,no
Maize04,M04_0321_a,274.7,65.2,3,no
Maize04,M04_0324_a,366.7,179.4,4,no
Maize04,M04_0325_a,316.1,175.6,4,no
Maize05,M05_0313_a,25.5,0.0,,no
Maize05,M05_0315_a,49.7,18.8,2,no
Maize05,M05_0317_a,77.1,19.5,2,no
Maize05,M05_0319_a,122.4,41.4,3,no
Maize05,M05_0321_a,123.4,35.7,3,no
Maize05,M05_0324_a,231.2,51.8,4,no
Maize05,M05_0325_a,250.8,51.1,4,no
Maize06,M06_0313_a,26.1,0.0,,no
Maize06,M06_0315_a,69.9,14.3,2,no
Maize06,M06_0317_a,125.9,17.7,2,no
Maize06,M06_0319_a,217.2,42.5,3,no
Maize06,M06_0321_a,230.9,43.9,3,no
Maize06,M06_0324_a,355.7,46.3,3,no
Maize06,M06_0325_a,340.6,45.0,3,no
Maize07,M07_0313_a,70.8,27.9,2,no
Maize07,M07_0315_a,113.0,25.2,2,no
Maize07,M07_0317_a,171.3,65.7,3,no
Maize07,M07_0319_a,235.7,60.5,3,no
Maize07,M07_0321_a,223.3,73.1,3,no
Maize07,M07_0324_a,367.2,113.1,4,no
Maize07,M07_0325_a,379.0,103.3,4,no
Tomato01,T01_0305_a,22.7,2.2,2,no
Tomato01,T01_0307_a,23.2,6.3,2,no
Tomato01,T01_0309_a,27.1,9.7,2,no
Tomato01,T01_0311_a,29.8,7.9,8,no
Tomato01,T01_0313_a,31.5,21.7,4,no
Tomato01,T01_0315_a,36.9,14.9,5,no
Tomato01,T01_0317_a,65.4,18.4,7,no
Tomato01,T01_0319_a,82.7,25.5,7,no
Tomato01,T01_0321_a,110.6,33.8,12,no
Tomato01,T01_0324_a,134.1,37.6,12,no
Tomato01,T01_0325_a,135.4,41.9,12,no
Tomato02,T02_0305_a,12.4,1.9,3,no
Tomato02,T02_0307_a,14.4,4.0,3,no
Tomato02,T02_0309_a,17.4,7.2,3,no
Tomato02,T02_0311_a,21.2,8.5,3,no
Tomato02,T02_0313_a,35.5,10.0,4,no
Tomato02,T02_0315_a,38.1,13.2,4,no
Tomato02,T02_0317_a,44.8,16.5,4,no
Tomato02,T02_0319_a,51.4,27.0,3,no
Tomato02,T02_0321_a,39.7,34.0,12,no
Tomato02,T02_0324_a,61.3,32.7,7,no
Tomato02,T02_0325_a,2.2,35.0,12,yes
Tomato03,T03_0305_a,28.6,6.7,2,no
Tomato03,T03_0307_a,31.4,6.5,3,no
Tomato03,T03_0309_a,31.2,9.1,2,no
Tomato03,T03_0311_a,36.5,11.7,2,no
Tomato03,T03_0313_a,36.8,16.2,3,no
Tomato03,T03_0315_a,50.3,18.3,2,no
Tomato03,T03_0317_a,55.0,22.9,5,no
Tomato03,T03_0319_a,65.4,28.8,5,no
Tomato03,T03_0321_a,62.8,37.9,6,no
