model,seed,plant,scan,n_points,mIoU_global,IoU_c1_global,IoU_c2_global,acc_global,O_mIoU_r1,O_IoU_c1_r1,O_IoU_c2_r1,O_band_share_r1,O_acc_r1,O_mIoU_r2,O_IoU_c1_r2,O_IoU_c2_r2,O_band_share_r2,O_acc_r2,O_mIoU_r5,O_IoU_c1_r5,O_IoU_c2_r5,O_band_share_r5,O_acc_r5,O_mIoU_r10,O_IoU_c1_r10,O_IoU_c2_r10,O_band_share_r10,O_acc_r10,J_mIoU_r1,J_IoU_c1_r1,J_IoU_c2_r1,J_band_share_r1,J_acc_r1,J_mIoU_r2,J_IoU_c1_r2,J_IoU_c2_r2,J_band_share_r2,J_acc_r2,J_mIoU_r5,J_IoU_c1_r5,J_IoU_c2_r5,J_band_share_r5,J_acc_r5,J_mIoU_r10,J_IoU_c1_r10,J_IoU_c2_r10,J_band_share_r10,J_acc_r10,I_mIoU_r1,I_IoU_c1_r1,I_IoU_c2_r1,I_band_share_r1,I_acc_r1,I_mIoU_r2,I_IoU_c1_r2,I_IoU_c2_r2,I_band_share_r2,I_acc_r2,I_mIoU_r5,I_IoU_c1_r5,I_IoU_c2_r5,I_band_share_r5,I_acc_r5,I_mIoU_r10,I_IoU_c1_r10,I_IoU_c2_r10,I_band_share_r10,I_acc_r10,O8_mIoU_r1,O8_IoU_c1_r1,O8_IoU_c2_r1,O8_band_share_r1,O8_acc_r1,O8_mIoU_r2,O8_IoU_c1_r2,O8_IoU_c2_r2,O8_band_share_r2,O8_acc_r2,O8_mIoU_r5,O8_IoU_c1_r5,O8_IoU_c2_r5,O8_band_share_r5,O8_acc_r5,O8_mIoU_r10,O8_IoU_c1_r10,O8_IoU_c2_r10,O8_band_share_r10,O8_acc_r10,O32_mIoU_r1,O32_IoU_c1_r1,O32_IoU_c2_r1,O32_band_share_r1,O32_acc_r1,O32_mIoU_r2,O32_IoU_c1_r2,O32_IoU_c2_r2,O32_band_share_r2,O32_acc_r2,O32_mIoU_r5,O32_IoU_c1_r5,O32_IoU_c2_r5,O32_band_share_r5,O32_acc_r5,O32_mIoU_r10,O32_IoU_c1_r10,O32_IoU_c2_r10,O32_band_share_r10,O32_acc_r10
semseg-ptv3-pheno4d-maize,0,Maize01,M01_0313_a,1554168,0.8937875002142056,0.8576641920851287,0.9299108083432825,0.9918091223085278,0.2571759557214571,0.5143519114429141,0.0,0.004998816086806575,0.5143519114429141,0.2564302416212003,0.5128604832424006,0.0,0.009080742879791631,0.5128604832424006,0.4040857734974961,0.5351005958034712,0.27307095119152097,0.017505829485615455,0.6042195023339582,0.6734590525325496,0.707184423777669,0.6397336812874301,0.0359645804057219,0.8073530727256463,0.2532622154490904,0.5065244308981808,0.0,0.008270019714728395,0.596903446666148,0.2764018691588785,0.552803738317757,0.0,0.01724910048334543,0.678715308863026,0.4636334985461269,0.6541960459007328,0.27307095119152097,0.040590206464166036,0.8017563883076533,0.6945687743176956,0.7494038673479612,0.6397336812874301,0.08313258283531767,0.9032058327270476,0.2571759557214571,0.5143519114429141,0.0,0.004998816086806575,0.5143519114429141,0.2564302416212003,0.5128604832424006,0.0,0.009080742879791631,0.5128604832424006,0.4040857734974961,0.5351005958034712,0.27307095119152097,0.017505829485615455,0.6042195023339582,0.6734590525325496,0.707184423777669,0.6397336812874301,0.0359645804057219,0.8073530727256463,0.25529475246189126,0.5105895049237825,0.0,0.004769754621122041,0.5105895049237825,0.25492978243469405,0.5098595648693881,0.0,0.008842673378939729,0.5098595648693881,0.40124287223684035,0.5330644811586661,0.2694212633150146,0.017393229046023338,0.6016572950577094,0.6722023072044382,0.7046950416849496,0.6397095727239268,0.03576382990770625,0.8062717017793211,0.26131262889724616,0.5226252577944923,0.0,0.005303802420330363,0.5226252577944923,0.25502767850886415,0.5100553570177283,0.0,0.009182404990966227,0.5100553570177283,0.40665725263457597,0.53590207740712,0.27741242786203196,0.017588832095371928,0.6060872110038045,0.674214352941038,0.7076613997936689,0.640767306088407,0.0360585213438959,0.8078549633304188
semseg-ptv3-pheno4d-maize,0,Maize01,M01_0315_a,1301557,0.4594308600032124,0.48684891079469395,0.43201280921173096,0.8963257083631374,0.21610914828973055,0.41531322505800466,0.016905071521456438,0.001003413603860607,0.4211332312404288,0.33725023458630016,0.5539617486338798,0.12053872053872054,0.0023871409396591927,0.5796588348889604,0.6978248283791348,0.74011844098609,0.6555312157721797,0.008337706300991812,0.8261150018429783,0.8870811734537959,0.8925215013954548,0.881640845512137,0.02428860203586935,0.9403093663998988,0.2723772392161176,0.5278494069107788,0.016905071521456438,0.004200353883848345,0.6650813974757637,0.3645089391568265,0.6084791577749324,0.12053872053872054,0.008961574483484011,0.7640603566529492,0.7280050571527765,0.8004788985333733,0.6555312157721797,0.0266388640681891,0.9038705583756346,0.8955778980182756,0.9095149505244142,0.881640845512137,0.06953364316737569,0.9629179465647169,0.21610914828973055,0.41531322505800466,0.016905071521456438,0.001003413603860607,0.4211332312404288,0.33725023458630016,0.5539617486338798,0.12053872053872054,0.0023871409396591927,0.5796588348889604,0.6978248283791348,0.74011844098609,0.6555312157721797,0.008337706300991812,0.8261150018429783,0.8870811734537959,0.8925215013954548,0.881640845512137,0.02428860203586935,0.9403093663998988,0.2086474860875209,0.41171617161716173,0.005578800557880056,0.0009342656525991562,0.4136513157894737,0.3278607865074031,0.5420694593626925,0.11365211365211365,0.002271894354223442,0.5674670273926277,0.6920324476154255,0.7373695198329854,0.6466953753978656,0.008174056149673046,0.8226337061753924,0.8861020701371477,0.8914081832307073,0.8807959570435882,0.024063487038984848,0.9397509578544061,0.23361753692461798,0.4371508379888268,0.030084235860409144,0.00111942849986593,0.44680851063829785,0.3551221299452612,0.5773000316155549,0.13294422827496757,0.0025876699983174,0.6030285035629454,0.7037500907836445,0.743265306122449,0.6642348754448398,0.00851518604256287,0.8297392402779031,0.8880406805002212,0.8930393379435438,0.8830420230568985,0.02450065575307113,0.9408259901533444
semseg-ptv3-pheno4d-maize,0,Maize01,M01_0317_a,803846,0.7234992138441276,0.648478247042361,0.7985201806458943,0.9449272621870358,0.21153856946432079,0.4095238095238095,0.013553329404832056,0.003555407379025336,0.41427571728481455,0.3092345877191059,0.5088314005352363,0.10963777490297542,0.007394451175971517,0.5368438761776582,0.5558303685712527,0.6679457870672763,0.4437149500752291,0.019272348186095346,0.7374774076942938,0.7865476333737718,0.8131802525832377,0.759915014164306,0.04310651542708429,0.88260079074197,0.21878898503095812,0.4240246406570842,0.013553329404832056,0.006264881581795518,0.443010325655282,0.3104703699006528,0.5113029648983302,0.10963777490297542,0.013090815902548498,0.5911812220849567,0.5706896898027152,0.6976644295302014,0.4437149500752291,0.03494450429559891,0.7995372018511926,0.79108058400523,0.8222461538461538,0.759915014164306,0.08452862861791935,0.9149791016659798,0.21153856946432079,0.4095238095238095,0.013553329404832056,0.003555407379025336,0.41427571728481455,0.3092345877191059,0.5088314005352363,0.10963777490297542,0.007394451175971517,0.5368438761776582,0.5558303685712527,0.6679457870672763,0.4437149500752291,0.019272348186095346,0.7374774076942938,0.7865476333737718,0.8131802525832377,0.759915014164306,0.04310651542708429,0.88260079074197,0.2098477839457221,0.41008018327605955,0.009615384615384616,0.0032767470386118732,0.4134396355353075,0.2929813121438533,0.4897575643676001,0.09620505992010653,0.006978948704105015,0.516042780748663,0.5500584130329081,0.6642727422816576,0.4358440837841587,0.018978759613159736,0.7334163607760881,0.7846905172022539,0.811264730444465,0.7581163039600428,0.0426748407033188,0.8814132462686567,0.22156931696621177,0.4256505576208178,0.017488076311605722,0.004056747187894199,0.43146274149034036,0.32401602973560695,0.528056606878394,0.11997545259281989,0.008046317329438724,0.5565862708719852,0.5692333778570087,0.6784189723320158,0.4600477833820016,0.020048616277247133,0.7475800446760983,0.7902379842618469,0.8167815160113499,0.7636944525123439,0.04397608497149952,0.8849222065063649
semseg-ptv3-pheno4d-maize,0,Maize01,M01_0319_a,860826,0.7714804124634536,0.7743497222838561,0.768611102643051,0.9279052909647246,0.3910668932945158,0.635884973673552,0.1462488129154796,0.0030470733922999538,0.6572626763248189,0.5711213474306818,0.7569259962049336,0.3853166986564299,0.007054851967761197,0.7890663592952413,0.8274430277082649,0.8945315609328982,0.7603544944836318,0.01947780387674164,0.9209757261287052,0.9243306006756835,0.9444327951352485,0.9042284062161186,0.04223269278576623,0.963553844037959,0.33888460423277067,0.5315203955500618,0.1462488129154796,0.005468003986868426,0.5974081155725515,0.540233116857745,0.6951495350590601,0.3853166986564299,0.013205920824882148,0.7865939479239972,0.8116480635005379,0.8629416325174438,0.7603544944836318,0.03570756459493556,0.9194807729845793,0.9121406120871122,0.9200528179581058,0.9042284062161186,0.07852225653035573,0.9605882178891617,0.3910668932945158,0.635884973673552,0.1462488129154796,0.0030470733922999538,0.6572626763248189,0.5711213474306818,0.7569259962049336,0.3853166986564299,0.007054851967761197,0.7890663592952413,0.8274430277082649,0.8945315609328982,0.7603544944836318,0.01947780387674164,0.9209757261287052,0.9243306006756835,0.9444327951352485,0.9042284062161186,0.04223269278576623,0.963553844037959,0.37718808409962434,0.6185612788632326,0.1358148893360161,0.0027729181042394167,0.6401340594888982,0.5608036835289116,0.748406374501992,0.3732009925558313,0.006705187807989071,0.7811850311850311,0.8254647613124708,0.8932484692233322,0.7576810534016094,0.019231528787466923,0.9199637571730594,0.9239176689911515,0.9438915943256405,0.9039437436566623,0.04191787887447637,0.9632801241547501,0.42017148260159465,0.6507021966150522,0.189640768588137,0.003489671548024804,0.6770972037283621,0.6102135606001113,0.7729250043500957,0.44750211685012703,0.007904036355779217,0.8082010582010583,0.8435817732319271,0.9048405630565929,0.7823229834072614,0.02170705810465762,0.9290912982981911,0.9291154813571312,0.9484836702954899,0.9097472924187726,0.04539361032310827,0.9660917187020166
semseg-ptv3-pheno4d-maize,0,Maize01,M01_0321_a,1114990,0.3232381744208909,0.32376216010727477,0.3227141887345071,0.5893738957300065,0.517562434134745,0.6985074626865672,0.3366174055829228,0.0013856626516829747,0.7385113268608414,0.509456239553327,0.7236743838685586,0.29523809523809524,0.00401976699342595,0.7523427041499331,0.6020212274757129,0.7872508507535245,0.41679160419790107,0.017002843074825785,0.8153286211625699,0.8126189025749148,0.8646924280727097,0.7605453770771198,0.04260845388747881,0.9053633072324662,0.3682239349936991,0.5686900958466453,0.16775777414075285,0.0047874868832904335,0.6701011614837018,0.3869043075592194,0.6172429585527822,0.15656565656565657,0.011964232863075006,0.7489505247376311,0.45236033505895046,0.6711726443548094,0.23354802576309158,0.03901380281437502,0.7918390804597701,0.6640424920105266,0.7415802862892509,0.5865046977318022,0.0907174055372694,0.8619066921076827,0.517562434134745,0.6985074626865672,0.3366174055829228,0.0013856626516829747,0.7385113268608414,0.509456239553327,0.7236743838685586,0.29523809523809524,0.00401976699342595,0.7523427041499331,0.6020212274757129,0.7872508507535245,0.41679160419790107,0.017002843074825785,0.8153286211625699,0.8126189025749148,0.8646924280727097,0.7605453770771198,0.04260845388747881,0.9053633072324662,0.5077715006512474,0.6791958041958042,0.33634719710669075,0.0011928358101866384,0.7240601503759398,0.5226282477130215,0.7323218639934977,0.3129346314325452,0.0037139346541224584,0.7614102873702004,0.5953607144726722,0.7833704804358593,0.4073509485094851,0.01664319859370936,0.8114458155951932,0.8121452830168459,0.8637451889565718,0.7605453770771198,0.04240127714149903,0.9049009031875965,0.5052768476916375,0.6959619952494062,0.31459170013386883,0.0017210916689835783,0.7331943720687858,0.5212295578956023,0.7247278382581649,0.31773127753303965,0.004554300935434398,0.7560063016935802,0.625830009888101,0.7956871133722611,0.4559729064039409,0.018169669683136172,0.8255590108100104,0.8191210161169539,0.8680518870693197,0.7701901451645881,0.044073937882850966,0.9085100321517235
semseg-ptv3-pheno4d-maize,0,Maize01,M01_0324_a,1214597,0.8508693900885189,0.8504766932810416,0.8512620868959964,0.9277439348195328,0.5735745467678607,0.6335523772709702,0.5135967162647511,0.0029540662458412133,0.7357859531772575,0.7337242982309471,0.7984581497797357,0.6689904466821586,0.007367052610865991,0.8567277603933839,0.8836449806581097,0.9280982319929111,0.8391917293233083,0.02686899440719844,0.9475716255553853,0.9373784435277783,0.9617507022332011,0.9130061848223556,0.05798466487238154,0.9726387232350769,0.5641923423717161,0.6246101502693507,0.5037745344740815,0.004475558559752741,0.7562545989698307,0.7244357496300937,0.7865504358655043,0.662321063394683,0.010634803148698704,0.867151815437021,0.8813695983768011,0.9272381206798678,0.8355010760737345,0.0372172827695112,0.9516193257233874,0.9325991133475717,0.9568667647593698,0.9083314619357736,0.0793275465030788,0.9728388911376115,0.5735745467678607,0.6335523772709702,0.5135967162647511,0.0029540662458412133,0.7357859531772575,0.7337242982309471,0.7984581497797357,0.6689904466821586,0.007367052610865991,0.8567277603933839,0.8836449806581097,0.9280982319929111,0.8391917293233083,0.02686899440719844,0.9475716255553853,0.9373784435277783,0.9617507022332011,0.9130061848223556,0.05798466487238154,0.9726387232350769,0.5413023040005523,0.6036906854130053,0.47891392258809934,0.002556403481977973,0.7095008051529791,0.7207968696931959,0.7846074380165289,0.656986301369863,0.006756973712268349,0.8474473010844401,0.8826013658098906,0.9269534452258704,0.8382492863939106,0.026341247343769168,0.946865037194474,0.9370462936160057,0.9612911030019556,0.9128014842300557,0.057451154580490486,0.9723846374319289,0.6036026599072426,0.6571618037135278,0.5500435161009574,0.003523802545206352,0.758411214953271,0.7415358598530941,0.8012232415902141,0.6818484781159743,0.00845136288003346,0.8604968339016074,0.8843363715404604,0.9265264860493327,0.8421462570315881,0.028378136945834707,0.9470813508181501,0.9395290205544518,0.9625285427116064,0.916529498397297,0.05961236525366027,0.9733858158966923
semseg-ptv3-pheno4d-maize,0,Maize01,M01_0325_a,1407956,0.8075674493958285,0.8312868596682443,0.7838480391234127,0.9173830716300794,0.32314413543481424,0.2649384885764499,0.3813497822931785,0.0023857279630897558,0.49240845489729085,0.3904449130826424,0.3568012244117084,0.4240886017535764,0.00594194704948166,0.5524743007410949,0.43250644609340383,0.42044060382994614,0.4445722883568615,0.021647693535877543,0.5882082745496899,0.5059669159567646,0.5117334311119259,0.5002004008016032,0.049529246652594255,0.6602423460242346,0.32727321586259817,0.27484989993328884,0.3796965317919075,0.003832506129452909,0.5911786508524833,0.388208284437377,0.3533042300165588,0.4231123388581952,0.0091679001332428,0.6375890920359467,0.45858406753624525,0.4732049036777583,0.4439632313947322,0.03174673072169869,0.6930958879591929,0.5284625286873242,0.5570515435876513,0.49987351378699724,0.07616644270133442,0.7651414131053068,0.32314413543481424,0.2649384885764499,0.3813497822931785,0.0023857279630897558,0.49240845489729085,0.3904449130826424,0.3568012244117084,0.4240886017535764,0.00594194704948166,0.5524743007410949,0.43250644609340383,0.42044060382994614,0.4445722883568615,0.021647693535877543,0.5882082745496899,0.5059669159567646,0.5117334311119259,0.5002004008016032,0.049529246652594255,0.6602423460242346,0.317465940876551,0.254341164453524,0.38059071729957805,0.0020369954742903897,0.4881450488145049,0.38538332337408554,0.36027713625866054,0.4104895104895105,0.005281415044220132,0.5465303926842389,0.43106917250985793,0.43191149635036497,0.4302268486693509,0.01984437013656677,0.5846814602720114,0.5037778943361994,0.5146496510849823,0.49290613758741647,0.047083857734190555,0.6576359138357569,0.32579451982538926,0.2641363284275755,0.387452711223203,0.002737301449761214,0.4958484691229891,0.3870899075041467,0.3482849604221636,0.42589485458612975,0.006485998141987391,0.5503723171265879,0.42782549346424403,0.41640458557370397,0.4392464013547841,0.022606530317708793,0.5838700556096641,0.5059535236276529,0.5120314253647587,0.49987562189054724,0.05046393495251272,0.6604410916102518
semseg-ptv3-pheno4d-maize,0,Maize02,M02_0313_a,1729943,0.5662250897207541,0.6340456849377402,0.498404494503768,0.9463358041276505,0.2801111797405806,0.5602223594811612,0.0,0.0009358689852787057,0.5602223594811612,0.3158167769289468,0.5902495647127104,0.041383989145183174,0.0020278124770584925,0.5972063854047891,0.6785761137076682,0.7230686261291628,0.6340836012861736,0.006695596328896386,0.8035051368384701,0.8620576426155857,0.8884604941623676,0.8356547910688038,0.017716190649056066,0.9233881493082746,0.3032311516155758,0.6064623032311516,0.0,0.0018873454212075195,0.7090352220520674,0.38191443946237114,0.7224448897795591,0.041383989145183174,0.005434283094876536,0.8231039251143495,0.7531801675148646,0.8722767337435556,0.6340836012861736,0.026666774570029184,0.9452440821989074,0.8859266423221732,0.9361984935755427,0.8356547910688038,0.0731989435490071,0.9794835347074153,0.2801111797405806,0.5602223594811612,0.0,0.0009358689852787057,0.5602223594811612,0.3158167769289468,0.5902495647127104,0.041383989145183174,0.0020278124770584925,0.5972063854047891,0.6785761137076682,0.7230686261291628,0.6340836012861736,0.006695596328896386,0.8035051368384701,0.8620576426155857,0.8884604941623676,0.8356547910688038,0.017716190649056066,0.9233881493082746,0.272635814889336,0.545271629778672,0.0,0.0008618781081226375,0.545271629778672,0.30255728993689807,0.6051145798737961,0.0,0.001740519774350947,0.6051145798737961,0.639149357093906,0.6920539730134933,0.5862447411743187,0.005828515737223712,0.775662005355549,0.8497568371129384,0.8684345375352293,0.8310791366906475,0.01587219925743218,0.9144875810328502,0.29093198992443325,0.5818639798488665,0.0,0.001147436649646838,0.5818639798488665,0.31588420085822705,0.5938566552901023,0.03791174642635177,0.0022376459802432797,0.6001033324722294,0.6908558008145709,0.7334890359413521,0.6482225656877898,0.007007745341898548,0.8122576919904314,0.866699032009846,0.8924551023613801,0.8409429616583118,0.018386154919555153,0.9261797717483573
semseg-ptv3-pheno4d-maize,0,Maize02,M02_0315_a,1441265,0.26764010809121763,0.32524020430760436,0.21004001187483087,0.7900566516220127,0.39755843975627503,0.556993006993007,0.238123872519543,0.0022591265312069606,0.6108722358722358,0.5156414750334024,0.6357815442561205,0.39550140581068416,0.004563352332846492,0.705792914702752,0.7674817842869557,0.8288841641074101,0.7060794044665012,0.01289561600399649,0.8725384698159905,0.8903518153747152,0.9187572438030434,0.8619463869463869,0.028956506957429757,0.9432357310586093,0.40829504951523116,0.5784662265109193,0.238123872519543,0.003917392013266124,0.7059865391427559,0.552047091448306,0.7085927770859277,0.39550140581068416,0.00971507668610561,0.8328095986287674,0.7922658309918518,0.8784522575172024,0.7060794044665012,0.03474309027139353,0.9445820186124536,0.9017042918230584,0.9414621966997299,0.8619463869463869,0.08916750215956122,0.978407021803072,0.39755843975627503,0.556993006993007,0.238123872519543,0.0022591265312069606,0.6108722358722358,0.5156414750334024,0.6357815442561205,0.39550140581068416,0.004563352332846492,0.705792914702752,0.7674817842869557,0.8288841641074101,0.7060794044665012,0.01289561600399649,0.8725384698159905,0.8903518153747152,0.9187572438030434,0.8619463869463869,0.028956506957429757,0.9432357310586093,0.3923823016564952,0.5458211143695014,0.23894348894348894,0.002162683475974231,0.602502406159769,0.5124209698667577,0.6305598159509203,0.39428212378259503,0.004490499665224646,0.7021013597033374,0.7665762293699687,0.8270730542734362,0.7060794044665012,0.012803335958342151,0.8716197908199209,0.8901580169142153,0.9183696468820436,0.8619463869463869,0.02886838992135381,0.9430624654505252,0.4078652930098593,0.5660130718954248,0.2497175141242938,0.002429809923921,0.6207881210736722,0.5262488471643195,0.6518897915930767,0.4006079027355623,0.004843661644458167,0.7175189800888125,0.7690584158677007,0.8308027719380207,0.7073140597973808,0.013019118621488761,0.873747601790663,0.890480297099288,0.9187572438030434,0.8622033503955328,0.028978709675181177,0.9432792223339559
semseg-ptv3-pheno4d-maize,0,Maize02,M02_0317_a,861631,0.4226213003605954,0.41732830029021534,0.42791430043097545,0.7952917200054316,0.4744970118915761,0.6154639175257732,0.333530106257379,0.004044654846448189,0.6760401721664275,0.6524063639658071,0.7450056539766302,0.559807073954984,0.00819724452811006,0.8061730142998725,0.8546359865612739,0.9040017028522775,0.8052702702702703,0.023375435656330844,0.9284543965046422,0.9248452391786792,0.954433704913616,0.8952567734437423,0.04886894738002695,0.9657539126511031,0.4678509366430034,0.6021717670286278,0.333530106257379,0.0048501040468599665,0.708303421871261,0.6548819218988131,0.7499567698426423,0.559807073954984,0.011103360951497799,0.8471830249817079,0.8629251334874173,0.9205799967045641,0.8052702702702703,0.04134832660384782,0.9569427681252982,0.9294817073383062,0.9637066412328699,0.8952567734437423,0.09852593511607637,0.9819184149458731,0.4744970118915761,0.6154639175257732,0.333530106257379,0.004044654846448189,0.6760401721664275,0.6524063639658071,0.7450056539766302,0.559807073954984,0.00819724452811006,0.8061730142998725,0.8546359865612739,0.9040017028522775,0.8052702702702703,0.023375435656330844,0.9284543965046422,0.9248452391786792,0.954433704913616,0.8952567734437423,0.04886894738002695,0.9657539126511031,0.4649335741974333,0.6176470588235294,0.3122200895713372,0.0038125369212574757,0.6727549467275494,0.64160262290973,0.7405488389944348,0.5426564068250251,0.007947717758530044,0.8003796728971962,0.8524855925609903,0.9020984081041968,0.8028727770177838,0.022952981032483742,0.9271375840622946,0.9243384741025875,0.953924740337136,0.8947522078680389,0.048411675067401246,0.9654304413492196,0.4925167018299328,0.6289688539461747,0.3560645497136908,0.004643519093440232,0.6908272931767058,0.6769123381199205,0.7626315789473684,0.5911930972924725,0.008945824836850113,0.8217436429683446,0.8586077311061866,0.9072207364739765,0.8099947257383966,0.024156512474597595,0.9307677524742961,0.9261950234182381,0.955640798662339,0.8967492481741371,0.05003766113336219,0.9665537876327875
