model,seed,plant,scan,n_points,mIoU_global,IoU_c1_global,IoU_c2_global,J_IoU_c1_r1,J_IoU_c1_r10,J_IoU_c1_r2,J_IoU_c1_r5,J_IoU_c2_r1,J_IoU_c2_r10,J_IoU_c2_r2,J_IoU_c2_r5,J_band_share_r1,J_band_share_r10,J_band_share_r2,J_band_share_r5,J_hidden_gap_r1,J_hidden_gap_r10,J_hidden_gap_r2,J_hidden_gap_r5,J_mIoU_r1,J_mIoU_r10,J_mIoU_r2,J_mIoU_r5,O_IoU_c1_r1,O_IoU_c1_r10,O_IoU_c1_r2,O_IoU_c1_r5,O_IoU_c2_r1,O_IoU_c2_r10,O_IoU_c2_r2,O_IoU_c2_r5,O_band_share_r1,O_band_share_r10,O_band_share_r2,O_band_share_r5,O_hidden_gap_r1,O_hidden_gap_r10,O_hidden_gap_r2,O_hidden_gap_r5,O_mIoU_r1,O_mIoU_r10,O_mIoU_r2,O_mIoU_r5
semseg-ptv3-pheno4d-maize,0,Maize01,M01_0313_a,1554168,0.8937875002142056,0.8576641920851287,0.9299108083432825,0.5065244308981808,0.7494038673479612,0.5528269560251285,0.6541864837960403,0.0,0.6397336812874301,0.0,0.27302187415608964,0.008270019714728395,0.08313258283531767,0.017249743914428812,0.04058891960199927,0.6405252847651153,0.19921872589651002,0.6173740222016413,0.4301833212381406,0.2532622154490904,0.6945687743176956,0.2764134780125643,0.463604178976065,0.5143519114429141,0.707184423777669,0.5128949978744509,0.5351005958034712,0.0,0.6397336812874301,0.0,0.27302187415608964,0.004998816086806575,0.0359645804057219,0.009081386310875015,0.017505186054532072,0.6366115444927485,0.22032844768165605,0.6373400012769801,0.4897262652344252,0.2571759557214571,0.6734590525325496,0.25644749893722546,0.4040612349797804
semseg-ptv3-pheno4d-maize,0,Maize01,M01_0315_a,1301557,0.4594308600032124,0.48684891079469395,0.43201280921173096,0.5280927835051547,0.9095198296082607,0.6085348506401138,0.8004788985333733,0.016905071521456438,0.881640845512137,0.12053872053872054,0.6555312157721797,0.004201890504987488,0.06953517978851484,0.008962342794053583,0.0266388640681891,0.18693193248990686,-0.4361494775569864,0.09489407441379527,-0.2685741971495641,0.27249892751330557,0.8955803375601988,0.36453678558941716,0.7280050571527765,0.41531322505800466,0.8925215013954548,0.5539617486338798,0.74011844098609,0.016905071521456438,0.881640845512137,0.12053872053872054,0.6555312157721797,0.001003413603860607,0.02428860203586935,0.0023871409396591927,0.008337706300991812,0.24332171171348188,-0.42765031345058346,0.12218062541691227,-0.23839396837592242,0.21610914828973055,0.8870811734537959,0.33725023458630016,0.6978248283791348
semseg-ptv3-pheno4d-maize,0,Maize01,M01_0317_a,803846,0.7234992138441276,0.648478247042361,0.7985201806458943,0.4240246406570842,0.8222461538461538,0.5113029648983302,0.6976644295302014,0.013553329404832056,0.759915014164306,0.10963777490297542,0.4437149500752291,0.006264881581795518,0.08452862861791935,0.013090815902548498,0.03494450429559891,0.5047102288131695,-0.06758137016110233,0.41302884394347483,0.15280952404141246,0.21878898503095812,0.79108058400523,0.3104703699006528,0.5706896898027152,0.4095238095238095,0.8131802525832377,0.5088314005352363,0.6679457870672763,0.013553329404832056,0.759915014164306,0.10963777490297542,0.4437149500752291,0.003555407379025336,0.04310651542708429,0.007394451175971517,0.019272348186095346,0.5119606443798068,-0.06304841952964413,0.41426462612502174,0.16766884527287496,0.21153856946432079,0.7865476333737718,0.3092345877191059,0.5558303685712527
semseg-ptv3-pheno4d-maize,0,Maize01,M01_0319_a,860826,0.7714804124634536,0.7743497222838561,0.768611102643051,0.5315203955500618,0.9200528179581058,0.6951495350590601,0.8629416325174438,0.1462488129154796,0.9042284062161186,0.3853166986564299,0.7603544944836318,0.005468003986868426,0.07852225653035573,0.013205920824882148,0.03570756459493556,0.4325958082306829,-0.1406601996236586,0.23124729560570856,-0.040167651037084307,0.33888460423277067,0.9121406120871122,0.540233116857745,0.8116480635005379,0.635884973673552,0.9444327951352485,0.7569259962049336,0.8945315609328982,0.1462488129154796,0.9042284062161186,0.3853166986564299,0.7603544944836318,0.0030470733922999538,0.04223269278576623,0.007054851967761197,0.01947780387674164,0.38041351916893773,-0.15285018821222995,0.2003590650327718,-0.05596261524481139,0.3910668932945158,0.9243306006756835,0.5711213474306818,0.8274430277082649
semseg-ptv3-pheno4d-maize,0,Maize01,M01_0321_a,1114990,0.3232381744208909,0.32376216010727477,0.3227141887345071,0.5686900958466453,0.7415802862892509,0.6172429585527822,0.6711726443548094,0.16775777414075285,0.5865046977318022,0.15656565656565657,0.23354802576309158,0.0047874868832904335,0.0907174055372694,0.011964232863075006,0.03901380281437502,-0.044985760572808176,-0.34080431758963564,-0.06366613313832847,-0.12912216063805954,0.3682239349936991,0.6640424920105266,0.3869043075592194,0.45236033505895046,0.6985074626865672,0.8646924280727097,0.7236743838685586,0.7872508507535245,0.3366174055829228,0.7605453770771198,0.29523809523809524,0.41679160419790107,0.0013856626516829747,0.04260845388747881,0.00401976699342595,0.017002843074825785,-0.1943242597138541,-0.48938072815402384,-0.18621806513243605,-0.2787830530548219,0.517562434134745,0.8126189025749148,0.509456239553327,0.6020212274757129
semseg-ptv3-pheno4d-maize,0,Maize01,M01_0324_a,1214597,0.8508693900885189,0.8504766932810416,0.8512620868959964,0.6246101502693507,0.9568667647593698,0.7865504358655043,0.9272381206798678,0.5037745344740815,0.9083314619357736,0.662321063394683,0.8355010760737345,0.004475558559752741,0.0793275465030788,0.010634803148698704,0.0372172827695112,0.2866770477168028,-0.08172972325905281,0.1264336404584252,-0.03050020828828215,0.5641923423717161,0.9325991133475717,0.7244357496300937,0.8813695983768011,0.6335523772709702,0.9617507022332011,0.7984581497797357,0.9280982319929111,0.5135967162647511,0.9130061848223556,0.6689904466821586,0.8391917293233083,0.0029540662458412133,0.05798466487238154,0.007367052610865991,0.02686899440719844,0.27729484332065824,-0.08650905343925941,0.11714509185757183,-0.032775590569590785,0.5735745467678607,0.9373784435277783,0.7337242982309471,0.8836449806581097
semseg-ptv3-pheno4d-maize,0,Maize01,M01_0325_a,1407956,0.8075674493958285,0.8312868596682443,0.7838480391234127,0.27484989993328884,0.5570515435876513,0.3533042300165588,0.4732049036777583,0.3796965317919075,0.49987351378699724,0.4231123388581952,0.4439632313947322,0.003832506129452909,0.07616644270133442,0.0091679001332428,0.03174673072169869,0.4802942335332303,0.27910492070850423,0.4193591649584515,0.3489833818595832,0.32727321586259817,0.5284625286873242,0.388208284437377,0.45858406753624525,0.2649384885764499,0.5117334311119259,0.3568012244117084,0.42044060382994614,0.3813497822931785,0.5002004008016032,0.4240886017535764,0.4445722883568615,0.0023857279630897558,0.049529246652594255,0.00594194704948166,0.021647693535877543,0.48442331396101423,0.3016005334390639,0.4171225363131861,0.37506100330242464,0.32314413543481424,0.5059669159567646,0.3904449130826424,0.43250644609340383
semseg-ptv3-pheno4d-maize,0,Maize02,M02_0313_a,1729943,0.13562435923849264,0.008065941229368823,0.26318277724761646,0.32570905763952424,0.0426982642136992,0.24302925989672977,0.09351240610061462,0.0,0.0,0.0,0.0,0.0018873454212075195,0.0731989435490071,0.005434283094876536,0.026666774570029184,-0.027230169581269476,0.11427522713164304,0.014109729290127757,0.08886815618818533,0.16285452881976212,0.0213491321068496,0.12151462994836489,0.04675620305030731,0.4397776405188388,0.0670190550770034,0.40250855188141393,0.17732884399551066,0.0,0.0,0.0,0.0,0.0009358689852787057,0.017716190649056066,0.0020278124770584925,0.006695596328896386,-0.08426446102092675,0.10211483169999094,-0.06562991670221432,0.04695993724073731,0.2198888202594194,0.0335095275385017,0.20125427594070697,0.08866442199775533
semseg-ptv3-pheno4d-maize,0,Maize02,M02_0315_a,1441265,0.28835940017577033,0.009520553349288589,0.5671982470022521,0.3212382643998985,0.03704082676762509,0.2174108649195816,0.08135136147421251,0.00032605151613955004,1.76444640494045e-05,0.00013583265417006248,4.0426908150064686e-05,0.003917392013266124,0.08916750215956122,0.00971507668610561,0.03474309027139353,0.1275772422177513,0.2698301645599331,0.1795860513888945,0.24766350598458903,0.16078215795801903,0.018529235615837247,0.10877334878687582,0.04069589419118129,0.38894009216589864,0.052045144130544174,0.2939476885644769,0.11686844229217111,0.0005025125628140704,2.540263171264543e-05,0.00021537798836958864,6.165988407941794e-05,0.0022591265312069606,0.028956506957429757,0.004563352332846492,0.01289561600399649,0.09363809781141397,0.2623241267946419,0.1412778668993471,0.22989434908764506,0.19472130236435636,0.02603527338112841,0.14708153327642323,0.05846505108812526
semseg-ptv3-pheno4d-maize,0,Maize02,M02_0317_a,861631,0.31396440820335275,0.00627584440297142,0.621652972003734,0.5339095744680851,0.03607614907267819,0.30643240023823703,0.0811706239646604,0.0,0.0,0.0,0.0,0.0025057130024337564,0.07108959635853399,0.0063577099709736535,0.028020115339397026,0.04700962096931022,0.29592633366701365,0.16074820808423423,0.2733790962210225,0.26695478723404253,0.018038074536339096,0.15321620011911852,0.0405853119823302,0.548122866894198,0.0557210158661396,0.3459986550100874,0.11886334757999308,0.0,0.0,0.0,0.0,0.0017002638020219792,0.021432608622484566,0.0034515935475859156,0.010047224391880051,0.03990297475625376,0.28610390027028293,0.14096508069830904,0.2545327344133562,0.274061433447099,0.0278605079330698,0.1729993275050437,0.05943167378999654
