model,seed,plant,scan,n_points,mIoU_global,IoU_c1_global,IoU_c2_global,acc_global,O_mIoU_r1,O_IoU_c1_r1,O_IoU_c2_r1,O_band_share_r1,O_acc_r1,O_mIoU_r2,O_IoU_c1_r2,O_IoU_c2_r2,O_band_share_r2,O_acc_r2,O_mIoU_r5,O_IoU_c1_r5,O_IoU_c2_r5,O_band_share_r5,O_acc_r5,O_mIoU_r10,O_IoU_c1_r10,O_IoU_c2_r10,O_band_share_r10,O_acc_r10,J_mIoU_r1,J_IoU_c1_r1,J_IoU_c2_r1,J_band_share_r1,J_acc_r1,J_mIoU_r2,J_IoU_c1_r2,J_IoU_c2_r2,J_band_share_r2,J_acc_r2,J_mIoU_r5,J_IoU_c1_r5,J_IoU_c2_r5,J_band_share_r5,J_acc_r5,J_mIoU_r10,J_IoU_c1_r10,J_IoU_c2_r10,J_band_share_r10,J_acc_r10,I_mIoU_r1,I_IoU_c1_r1,I_IoU_c2_r1,I_band_share_r1,I_acc_r1,I_mIoU_r2,I_IoU_c1_r2,I_IoU_c2_r2,I_band_share_r2,I_acc_r2,I_mIoU_r5,I_IoU_c1_r5,I_IoU_c2_r5,I_band_share_r5,I_acc_r5,I_mIoU_r10,I_IoU_c1_r10,I_IoU_c2_r10,I_band_share_r10,I_acc_r10,O8_mIoU_r1,O8_IoU_c1_r1,O8_IoU_c2_r1,O8_band_share_r1,O8_acc_r1,O8_mIoU_r2,O8_IoU_c1_r2,O8_IoU_c2_r2,O8_band_share_r2,O8_acc_r2,O8_mIoU_r5,O8_IoU_c1_r5,O8_IoU_c2_r5,O8_band_share_r5,O8_acc_r5,O8_mIoU_r10,O8_IoU_c1_r10,O8_IoU_c2_r10,O8_band_share_r10,O8_acc_r10,O32_mIoU_r1,O32_IoU_c1_r1,O32_IoU_c2_r1,O32_band_share_r1,O32_acc_r1,O32_mIoU_r2,O32_IoU_c1_r2,O32_IoU_c2_r2,O32_band_share_r2,O32_acc_r2,O32_mIoU_r5,O32_IoU_c1_r5,O32_IoU_c2_r5,O32_band_share_r5,O32_acc_r5,O32_mIoU_r10,O32_IoU_c1_r10,O32_IoU_c2_r10,O32_band_share_r10,O32_acc_r10
semseg-ptv3-pheno4d-tomato,0,Tomato01,T01_0305_a,1962709,0.9554809813089028,0.9162822354987522,0.9946797271190534,0.9994359836328258,0.6798421998903486,0.6480279580629057,0.7116564417177914,0.001907058050887829,0.8116484103660165,0.854858318522242,0.8359702187063751,0.8737464183381088,0.004675680398877266,0.923177508989866,0.9254536472614756,0.8793840889649273,0.971523205558024,0.015232517912742032,0.9764190386995351,0.9469465989952384,0.9041859200869802,0.9897072779034966,0.03828789698320026,0.9906185128014052,0.6844440840004198,0.6572317262830482,0.7116564417177914,0.0035349101675286555,0.8411646007494955,0.8507789487864132,0.8278114792347177,0.8737464183381088,0.009445618275556896,0.9402880414261826,0.926309400845607,0.8810955961331901,0.971523205558024,0.035712884589615676,0.9842069221331355,0.948305829684235,0.9069043814649735,0.9897072779034966,0.10560709712952862,0.9946592948532391,0.6798421998903486,0.6480279580629057,0.7116564417177914,0.001907058050887829,0.8116484103660165,0.854858318522242,0.8359702187063751,0.8737464183381088,0.004675680398877266,0.923177508989866,0.9254536472614756,0.8793840889649273,0.971523205558024,0.015232517912742032,0.9764190386995351,0.9469465989952384,0.9041859200869802,0.9897072779034966,0.03828789698320026,0.9906185128014052,0.6704364055666555,0.6380903490759754,0.7027824620573356,0.0018418420662461934,0.8049792531120332,0.8510576229620245,0.8325017818959373,0.8696134640281117,0.004540153430793867,0.9208843003029963,0.9251051976620842,0.8792394655704008,0.9709709297537676,0.014988976970095923,0.9760358951697883,0.9467066230327454,0.9038199181446112,0.9895933279208797,0.03789150607655032,0.990520371117386,0.6922209122310071,0.6587608906098742,0.72568093385214,0.0020028440283302315,0.8206563215466802,0.8597066029459283,0.8407139629462268,0.8786992429456297,0.004857062356161815,0.9260463652575265,0.9259207169344066,0.8798977853492334,0.9719436485195797,0.015434279865227092,0.9767272967352194,0.947541202296635,0.9053055742108798,0.9897768303823901,0.038569650416847324,0.9906870450852697
semseg-ptv3-pheno4d-tomato,0,Tomato01,T01_0307_a,1921834,0.842412406360125,0.7465631455231854,0.9382616671970647,0.9962972868624449,0.3684412367229843,0.26883996613039796,0.4680425073155706,0.004039370726087685,0.5550689166559319,0.55493562578283,0.49727126805778493,0.612599983507875,0.008728121159267658,0.7199236914272088,0.6846537037017211,0.5582937119132123,0.8110136954902298,0.022498821438271983,0.8474525312796318,0.7621834843843518,0.620067968434998,0.9042990003337057,0.041464559374014616,0.9172271860254995,0.4181313220528863,0.368220136790202,0.4680425073155706,0.005130515955072083,0.5971602434077079,0.5818119518296561,0.551023920151437,0.612599983507875,0.012555194673421326,0.7837457001947864,0.7128909967273583,0.6147682979644868,0.8110136954902298,0.04511315753597865,0.917923875432526,0.805572916167512,0.7068468320013183,0.9042990003337057,0.11480388004374988,0.9677474913204673,0.3684412367229843,0.26883996613039796,0.4680425073155706,0.004039370726087685,0.5550689166559319,0.55493562578283,0.49727126805778493,0.612599983507875,0.008728121159267658,0.7199236914272088,0.6846537037017211,0.5582937119132123,0.8110136954902298,0.022498821438271983,0.8474525312796318,0.7621834843843518,0.620067968434998,0.9042990003337057,0.041464559374014616,0.9172271860254995,0.3684398420201749,0.26991150442477874,0.46696817961557097,0.003856212347164219,0.5547159627580623,0.5431083240906635,0.4831111111111111,0.6031055370702159,0.008361284065116966,0.7104984753251602,0.6834777319951737,0.5581161653379781,0.8088392986523693,0.022289125907856765,0.8460173685684937,0.7619309563109531,0.6200023044129508,0.9038596082089553,0.04129909242941898,0.9168955524757465,0.37703662495847484,0.2815649081209247,0.47250834179602497,0.004328157374674399,0.5628756912719404,0.5678309012434488,0.5135135135135135,0.622148288973384,0.009188618788095121,0.7298827793193272,0.6869500211758484,0.5597971169247197,0.814102925426977,0.022827153645944447,0.8496466833827216,0.7631955172331724,0.6213330271542569,0.905058007312088,0.04178144418300436,0.9178549634481986
semseg-ptv3-pheno4d-tomato,0,Tomato01,T01_0309_a,2177884,0.9621595825127776,0.935381508726381,0.988937656299174,0.9983543659809246,0.5270198676973972,0.3319688907081457,0.7220708446866485,0.006137149636987094,0.7557982941792608,0.7353566424567777,0.6026981040350025,0.868015180878553,0.013649487300517384,0.8900326302687792,0.90119431259608,0.8511316544469238,0.9512569707452361,0.03937583452562212,0.9618802182937637,0.9260823772090248,0.8761554781027429,0.9760092763153067,0.07318479772109075,0.9794903003990263,0.5977722332502596,0.47347362181387076,0.7220708446866485,0.007999507779110366,0.7960624497761452,0.7993416251578457,0.7306680694371384,0.868015180878553,0.01962914461927265,0.9161637426900585,0.9226358191791002,0.8940146676129643,0.9512569707452361,0.06182514771218302,0.9733824490523438,0.9489776982443314,0.9219461201733563,0.9760092763153067,0.13702520428085244,0.9879902823154897,0.5277379396361568,0.3319688907081457,0.7235069885641677,0.006165158474923366,0.7569077232442094,0.7365650647008147,0.6026981040350025,0.870432025366627,0.01386161981078882,0.8917155255225413,0.9012859062501855,0.8511316544469238,0.9514401580534471,0.039492002328866,0.9619923496378286,0.9260905586239545,0.8761554781027429,0.9760256391451663,0.07322749971991162,0.9795022604573586,0.511318539017905,0.3147176149485618,0.7079194630872483,0.005819410032857581,0.7424648887486193,0.7233295114030587,0.584941594718131,0.8617174280879865,0.012969928609604551,0.8842708960243566,0.9000923787093924,0.849382602285293,0.9508021551334919,0.03897406840768379,0.9614872586326739,0.9257278495903616,0.8755662136957101,0.975889485485013,0.07281655037642042,0.9793865788909487,0.5430136684180311,0.348943802311678,0.7370835345243844,0.006509529433156219,0.7695563236227693,0.7449364676781383,0.6155022347682898,0.8743707005879866,0.014350626571479473,0.8954053881103219,0.9015746050658571,0.8511655436168275,0.9519836665148866,0.039844179028818795,0.9623282935373836,0.9261952925703569,0.8761930010604454,0.9761975840802686,0.07368344686861192,0.9796290987948203
semseg-ptv3-pheno4d-tomato,0,Tomato01,T01_0311_a,2080173,0.9094118961934585,0.833049321972879,0.985774470414038,0.9966560473575996,0.4027739461013038,0.21915754759406386,0.5863903446085438,0.006757130296374388,0.6294109277177006,0.5509665380215641,0.3355600089067023,0.766373067136426,0.013729146566175025,0.791029097657481,0.7069167644701418,0.4923158452570217,0.9215176836832619,0.0442025735359511,0.9270682661040359,0.8077267931244563,0.6475349521707138,0.9679186340781989,0.10640989956123842,0.9697042254157424,0.4310182471777065,0.2756461497468692,0.5863903446085438,0.007336889768302925,0.6437557331935526,0.6344665335682129,0.50256,0.766373067136426,0.01670918716856723,0.8211059324472064,0.7990139690331857,0.6765102543831093,0.9215176836832619,0.058924906726507846,0.9432506077961068,0.8759871327599489,0.7840556314416988,0.9679186340781989,0.1522229160747688,0.978032528027791,0.4675553378192031,0.21262361838278068,0.7224870572556256,0.010081373039646221,0.7418339611844929,0.5828449312520207,0.3260140616549486,0.839675800849093,0.02013246013672901,0.8512142123737434,0.7160413365002841,0.4923158452570217,0.9397668277435465,0.056647692283286054,0.9430908797746039,0.809397393970602,0.6475349521707138,0.9712598357704901,0.11809210099352313,0.9727012196114829,0.39730697637059686,0.20865219428392942,0.5859617584572643,0.006525418799301789,0.6267128333578901,0.5472756007157116,0.33163899243194395,0.7629122089994791,0.013408980887647326,0.7878679238518624,0.7036961637071135,0.48777879621142683,0.9196135312028002,0.04317333221804148,0.9253295920185284,0.80682450650594,0.6459719142645972,0.9676770987472827,0.1056186192206129,0.9694772535900412,0.4070734090752274,0.2219965177016831,0.5921503004487716,0.007055663158785351,0.6346664849764938,0.5549230262448818,0.3373732921992067,0.7724727602905569,0.014178628412156105,0.7960941208381366,0.7097777613565107,0.4966599114313593,0.9228956112816621,0.04499145023034142,0.9283470456245325,0.8078413830366952,0.6475349521707138,0.9681478139026766,0.10713291634878445,0.9699086850194072
semseg-ptv3-pheno4d-tomato,0,Tomato01,T01_0313_a,1924288,0.9601192217043355,0.9276145868183339,0.992623856590337,0.9971890901985565,0.5729526746339265,0.44881170018281535,0.6970936490850377,0.00902775468121196,0.757022795302786,0.7907642594656277,0.7208086441268735,0.8607198748043818,0.024379926497488942,0.8975572323826576,0.9083057261503451,0.8616540487636374,0.9549574035370528,0.07100392456846376,0.9648252239592482,0.9432862795412928,0.9057073907669367,0.9808651683156491,0.1545132537333289,0.9838360329333261,0.5869563369238868,0.4768190247627359,0.6970936490850377,0.010564426946486181,0.7640808696935413,0.79530375762691,0.7298876404494382,0.8607198748043818,0.02757279575614461,0.8980549587244148,0.9104360641879612,0.8659147248388696,0.9549574035370528,0.08416931353310939,0.9666041020955015,0.9454033638651221,0.9099415594145952,0.9808651683156491,0.1900240504539861,0.9852076103275985,0.6471503757770835,0.44863594830962017,0.8456648032445467,0.01600903814813583,0.8628838537947153,0.821964932486702,0.7208086441268735,0.9231212208465304,0.038934920344563806,0.9358532874189157,0.9161827111653718,0.8616540487636374,0.970711373567106,0.10082898194033325,0.97522986846988,0.9458286326022685,0.9057073907669367,0.9859498744376003,0.20174942628130507,0.9876205489614244,0.5568761245698839,0.42449431975616514,0.6892579293836026,0.008539262314165031,0.7472005842259006,0.7771947912550554,0.7031867588932806,0.8512028236168302,0.02270190324940965,0.8899851207508298,0.9072518416365012,0.8606593024267201,0.9538443808462824,0.06953792779459207,0.9640836702513246,0.9431432387046239,0.9055387397303353,0.9807477376789127,0.15366982489107658,0.9837473157369676,0.5933338951758291,0.47515907978463046,0.7115087105670277,0.009743863704393521,0.7712533333333333,0.7970925292740405,0.7283671508506189,0.8658179076974621,0.02531014068580171,0.9013222733245729,0.9096248628935396,0.8635511895974107,0.9556985361896685,0.0721825423221472,0.9653995680345573,0.9436762645151968,0.9063322224171197,0.9810203066132739,0.15575683057837497,0.9839650875314042
semseg-ptv3-pheno4d-tomato,0,Tomato01,T01_0315_a,2438364,0.9377516490564897,0.88641888255924,0.9890844155537394,0.9949794206279292,0.5405199890423349,0.42664473684210524,0.6543952412425644,0.007800722123522165,0.7250933179117817,0.6729141596121524,0.5633292481483455,0.7824990710759594,0.0197878577603672,0.8301554404145077,0.8562001142457873,0.7802097959857933,0.9321904325057814,0.07987035569750865,0.9453461564135084,0.8971017695408201,0.8234700893880358,0.9707334496936043,0.18399344806599835,0.9742490131351654,0.555704823116924,0.4570144049912836,0.6543952412425644,0.00974423834997564,0.7509259259259259,0.6855251931889615,0.5885513153019637,0.7824990710759594,0.023629777998690926,0.8458120726161963,0.8640659750126587,0.7959415175195361,0.9321904325057814,0.09110083646248059,0.9489819345719084,0.9067694316446141,0.8428054135956239,0.9707334496936043,0.21227019427780267,0.976348166123124,0.6061048166474212,0.42664473684210524,0.7855648964527373,0.011596299814137677,0.8150728533031546,0.7135375977211924,0.5633292481483455,0.8637459472940394,0.02900182253346916,0.8841155592007579,0.8656517848386656,0.7802097959857933,0.9510937736915379,0.10475261281744645,0.958328276402075,0.9000358041876888,0.8234700893880358,0.9766015189873418,0.22459403107985518,0.9789041015846118,0.5337959678270735,0.4252357948010122,0.6423561408531349,0.007246251995190218,0.7171882958854491,0.6686394610125542,0.558623339554287,0.7786555824708215,0.019072213992660653,0.8270938608751747,0.8553962348101778,0.7793626077026887,0.9314298619176667,0.07895375751938595,0.9447999667563552,0.8967692951045395,0.8229750850418314,0.9705635051672477,0.18298375468141753,0.9741069207339622,0.5549250407407164,0.4475060337892196,0.6623440476922131,0.008497910894353755,0.7348583562569374,0.683506767323368,0.5796867918827735,0.7873267427639625,0.020817236474947955,0.8355594956658786,0.8576682380611707,0.7823890145264144,0.932947461595927,0.08107690238208898,0.9459723311161132,0.8978713656865807,0.8248377706349688,0.9709049607381925,0.18515734320224544,0.9744108832929846
semseg-ptv3-pheno4d-tomato,0,Tomato01,T01_0317_a,2450405,0.8751521108637017,0.7757304970147483,0.974573724712655,0.9814810204843689,0.4647876056389275,0.4261823234578929,0.5033928878199622,0.013006829483289496,0.6372050702811245,0.615369039640604,0.5604346420667877,0.6703034372144203,0.031079760284524395,0.7678773077024081,0.7503959235740267,0.6647533950708601,0.8360384520771935,0.11211493610239939,0.8762662570479057,0.804264574152666,0.6831745435093756,0.9253546047959564,0.27820380712576087,0.9357030534888633,0.46643610029146776,0.42947931276297335,0.5033928878199622,0.015402351856121743,0.6551057177680039,0.6263568100534067,0.5824101828923932,0.6703034372144203,0.035858970251856324,0.7812083897620321,0.7593372597038197,0.682636067330446,0.8360384520771935,0.12344694040372918,0.8825104547182598,0.8164644146805569,0.7075742245651572,0.9253546047959564,0.30020425195018785,0.9383120678826897,0.552074619506814,0.4250853833589071,0.6790638556547208,0.018274122032888442,0.7406150204336854,0.6793842043635978,0.5582138346088119,0.8005545741183837,0.04569734390845595,0.8406994293470981,0.7818631744215201,0.6643733675028338,0.8993529813402065,0.16557467030960188,0.9160736952369216,0.8150233570316902,0.6831745435093756,0.9468721705540047,0.3752595999436828,0.9523325844065171,0.45561481647739693,0.4191199417455529,0.492109691209241,0.012262054639947274,0.6283156388324957,0.6080092246903777,0.5534229703376783,0.662595479043077,0.029852208104374583,0.7620779220779221,0.7502274336349247,0.6658912503340889,0.8345636169357605,0.11071108653467487,0.8755856344019434,0.8031956761903338,0.6815447213543558,0.9248466310263119,0.2762951430477819,0.9352588861727976,0.4746891492817113,0.4377903500298974,0.5115879485335252,0.014097261473103426,0.6461614173228346,0.6244680509861779,0.5713137616413747,0.677622340330981,0.03282192127423834,0.7745035871038333,0.750729160905539,0.6640389000409269,0.837419421770151,0.11435089301564436,0.8769583806199724,0.8055342192168693,0.6850867234764115,0.9259817149573271,0.2805768842293417,0.9362468673957531
semseg-ptv3-pheno4d-tomato,0,Tomato01,T01_0319_a,2476596,0.9573350239761673,0.9221457369430738,0.992524311009261,0.9938714267486501,0.567947306472009,0.4869896052720973,0.6489050076719207,0.01157839227714169,0.736669572798605,0.7450329067172209,0.6792163300264078,0.810849483408034,0.026873983483781772,0.8649408017308733,0.8911128248393078,0.8495430530644118,0.9326825966142037,0.10207680219139496,0.9512228889688809,0.9270639717271811,0.8812724701392084,0.9728554733151539,0.24906847947747635,0.9774075046770486,0.5733791739372827,0.4978533402026447,0.6489050076719207,0.013651398936281896,0.7405424591085213,0.7512691245391183,0.6916887656702025,0.810849483408034,0.03136442116517995,0.8682879101922062,0.8912577676718265,0.8498329387294492,0.9326825966142037,0.11396489374932367,0.9519105741465748,0.9284809569836183,0.8841064406520827,0.9728554733151539,0.27465601979491205,0.977686368367509,0.6340219425107877,0.4869896052720973,0.781054279749478,0.016819860808949056,0.8187295947762627,0.7763367429044372,0.6766326566888264,0.876040829120048,0.03731411986452372,0.9015712245162966,0.8902342085948826,0.8387462053678986,0.9417222118218666,0.12085903393205835,0.9552784821544907,0.9288271664234611,0.8812724701392084,0.9763818627077137,0.28002023745495835,0.9799047436398427,0.555952508873145,0.4724668814894379,0.639438136256852,0.010914174132559368,0.7274509803921568,0.7375735838454023,0.6689864514696083,0.8061607162211961,0.025923889080011434,0.8607230191735589,0.8900755441522665,0.8479490104657507,0.9322020778387823,0.10063934529491286,0.9508030315796231,0.9269437701324147,0.8812299720460899,0.9726575682187395,0.2475510741356281,0.9772690202321378,0.5893912354007207,0.5129315836412282,0.6658508871602132,0.012490531358364464,0.7528286028318355,0.7562828171831413,0.6938706285404158,0.8186950058258669,0.028359086423461882,0.871500982430162,0.8928393512066087,0.8516039085129142,0.9340747939003032,0.10423339131614523,0.952170106607165,0.9273964099213833,0.8816143802509409,0.9731784395918257,0.2517015290342066,0.9776438447581907
semseg-ptv3-pheno4d-tomato,0,Tomato01,T01_0321_a,1672545,0.9613523498852371,0.9303503560207355,0.9923543437497387,0.9936593634251993,0.6158283752512814,0.5384699693117054,0.6931867811908575,0.011319874801574845,0.7773728410711456,0.7379399574449221,0.6593137254901961,0.8165661893996483,0.026489571282088075,0.868141293307753,0.8842283008175552,0.8312437765909296,0.9372128250441808,0.09649067738087765,0.953768937633609,0.9205279827927015,0.8707526641745243,0.9703033014108788,0.22941146576026356,0.975840563355321,0.6189857350930363,0.5447846889952153,0.6931867811908575,0.013172739746912639,0.7839052287581699,0.744615966565691,0.6726657437317336,0.8165661893996483,0.03022878308206954,0.8736525643307819,0.8871094675119071,0.8370061099796334,0.9372128250441808,0.1056569479445994,0.9546900110912424,0.9235946160720222,0.8768859307331656,0.9703033014108788,0.24276297498722008,0.9762555660637585,0.6709794035600414,0.5200592780776966,0.8218995290423862,0.018340313713532373,0.8520619396903015,0.755765407684073,0.6266570525264851,0.8848737628416609,0.04242516643797327,0.9050846979903605,0.8798333099914759,0.8079494962826097,0.9517171237003421,0.13360955908510683,0.9609116294055525,0.9173950982672201,0.8595189249473351,0.9752712715871051,0.28885321471171177,0.9788727438317603,0.6084592489633879,0.5334905660377358,0.6834279318890399,0.010352486779130008,0.7712965636731158,0.7289916394927494,0.647849131024282,0.8101341479612166,0.024984081145798767,0.8631631847225214,0.8818896018392459,0.8275187023701321,0.9362605013083597,0.09417265305268319,0.9529865149706681,0.9202477894380581,0.8703450415262483,0.9701505373498679,0.22663246728787567,0.9757316259203858,0.624762489687132,0.5445170512558709,0.7050079281183932,0.012406841071540676,0.7848296467640113,0.7458806880460063,0.6678997349823321,0.8238616411096804,0.02835678561712839,0.873091844480054,0.8831474699764381,0.8287579957356077,0.9375369442172684,0.09962960637830372,0.95370720436883,0.9205728847341902,0.8704201797784127,0.9707255896899677,0.23272497899907027,0.976102331962296
semseg-ptv3-pheno4d-tomato,0,Tomato01,T01_0324_a,2932759,0.9671326777481231,0.9384640075200468,0.9958013479761992,0.9961186718717767,0.544224641763262,0.48557341124908693,0.6028758722774371,0.006650734001668736,0.7111509869264291,0.7102509080600963,0.6329245667224761,0.7875772493977166,0.017790415100592993,0.8445232390991855,0.892481857790993,0.835940555338287,0.949023160243699,0.07776568071225765,0.959533998631987,0.931727964128886,0.8814293911535973,0.9820265371041746,0.20877133102310827,0.9841378724627455,0.5539976697293729,0.5140505487196542,0.5939447907390917,0.007458164820225596,0.7193343391395784,0.7217160911796645,0.6609821823593292,0.78245,0.020225323662803524,0.8479499629105132,0.897307341950663,0.8475991316007918,0.9470155523005342,0.08518190550263421,0.9593424012681232,0.9367320199295079,0.8922698516696562,0.9811941881893596,0.22554188734907982,0.9839143712393795,0.6719731717768151,0.4845558086560364,0.859390534897594,0.015531450078236909,0.8758068057080132,0.7755015114882525,0.6304710389903088,0.9205319839861963,0.03994463916059929,0.9300201454570287,0.9006994323679354,0.8283208902662347,0.9730779744696361,0.13952697783895643,0.9761729622995169,0.9340007406902991,0.8807253646864486,0.9872761166941497,0.2877495218666109,0.9883635501836711,0.5330377884582814,0.474977790938703,0.5910977859778598,0.006076189690322321,0.7015151515151515,0.7054168700343566,0.6280711798101236,0.7827625602585895,0.016725547513450643,0.8410666231754057,0.8922155699360825,0.8359112797315045,0.9485198601406605,0.07521074864999136,0.9592156862745098,0.9314598850309622,0.8812150299349878,0.9817047401269366,0.20527019097034568,0.9838839350972081,0.5520156384379581,0.48732138432311883,0.6167098925527973,0.007533520483612871,0.7190639992758215,0.7171314594850411,0.6411619283065513,0.7931009906635308,0.019658621796063026,0.8489436986158809,0.8947305062365087,0.8383882604279761,0.9510727520450413,0.08064215300336645,0.960977404187667,0.9322593926523034,0.8822530976455469,0.9822656876590599,0.21145003731980705,0.9843388181870957
